bookId,book_name,author_name,subject_name,books_count,availability,cover_page,syllabus_pdf,ratings
82,Deep Learning from Scratch: Building with Python from First Principles,Seth Weidman,Deep Learning,21,Yes,https://covers.zlibcdn2.com/covers100/books/a7/85/3f/a7853fdf75076181ee55657d22d7af58.jpg,https://1lib.in/dl/5256841/a0e332,4
83,Introduction to Deep Learning,Eugene Charniak,Deep Learning,28,Yes,https://covers.zlibcdn2.com/covers100/books/fa/0f/f8/fa0ff8df487288c4331275b0047e124d.jpg,https://1lib.in/dl/5010112/d5d2d2,1
84,"Microprocessors And Microcontrollers Architecture, Programming And System Design 8085, 8086, 8051, 8096",Krishna Kant,Microprocessors and Microcontrollers,30,Yes,https://covers.zlibcdn2.com/covers100/books/70/11/7a/70117a9c4eaa27905293b484890d369b.jpg,https://1lib.in/dl/5279329/0419ab,3
85,Microprocessor and Microcontroller System,A. P. Godse and Mrs. D. A. Godse,Microprocessors and Microcontrollers,18,Yes,https://covers.zlibcdn2.com/covers100/books/d5/65/ee/d565eeb15173c68e2bb0547e28f4e499.jpg,https://1lib.in/dl/1082259/deb31d,4
86,Microprocessors and Microcontrollers (Second Edition),R.S. Kaler,Microprocessors and Microcontrollers,32,Yes,https://covers.zlibcdn2.com/covers100/books/15/03/c3/1503c35e1ab39d7005635f70e6312b49.jpg,https://1lib.in/dl/5260774/6c0d6f,2
87,"Microprocessors and Microcontrollers: Architecture, Programming & Interfacing using 8085, 8086, and 8051",S.K Mandal,Microprocessors and Microcontrollers,31,Yes,https://covers.zlibcdn2.com/covers100/books/99/57/b6/9957b698534361fb8fb3d016c6718d5b.jpg,https://1lib.in/dl/5480124/611e56,2
88,Cryptography and Network Security: Principles and Practice (6th Edition),William Stallings,Cryptography,27,Yes,https://covers.zlibcdn2.com/covers100/books/bd/6e/37/bd6e37cf128c5fd13a4dabd7baca36e9.jpg,,4
89,"Computation, Cryptography, and Network Security",Nicholas J. Daras,Cryptography,15,Yes,https://covers.zlibcdn2.com/covers100/books/65/7d/e7/657de73f02afa45fda04a0f2ce4d38ce.jpg,https://1lib.in/dl/2617332/86a7f7,5
90,Cryptography and network security,Atul Kahate,Cryptography,18,Yes,https://covers.zlibcdn2.com/covers100/books/fc/b6/ea/fcb6eab47d22195ab5b557268d1d9222.jpg,https://1lib.in/dl/3507820/437d96,3
91,Network Security and Cryptography: A Self-teaching Introduction,Ph.D. Musa,Cryptography,12,Yes,https://covers.zlibcdn2.com/covers100/books/7c/42/3d/7c423d1c26060fdd90fcd554ce8ab456.jpg,https://1lib.in/dl/5524818/eb81f4,2
92,Cryptography and Network Security,Ajay Kumar,Digital Electronics,18,Yes,https://covers.zlibcdn2.com/covers100/books/2f/ac/ac/2facacd03e78cc97ba57993f887fc367.jpg,https://1lib.in/dl/5440594/deac92,3
93,"Digital Electronics. Principles, Devices and Applications [messy]",Anil K. Maini,Digital Electronics,17,Yes,https://covers.zlibcdn2.com/covers100/books/3f/53/80/3f538094613f595ccd218b310a6bfb28.jpg,https://1lib.in/dl/511047/74ba56,5
94,"Digital Electronics, Volume 1: Combinational Logic Circuits",Tertulien Ndjountche,Digital Electronics,20,Yes,https://covers.zlibcdn2.com/covers100/books/bc/18/7c/bc187cf91b665e59296b5519480a49b7.jpg,https://1lib.in/dl/2747508/0c4516,1
95,"Digital Electronics, Volume 2: Sequential and Arithmetic Logic Circuits",Tertulien Ndjountche,Digital Electronics,10,Yes,https://covers.zlibcdn2.com/covers100/books/ea/70/79/ea70796cf1080f2b30fbac9a38d7dc9f.jpg,https://1lib.in/dl/2758691/8a2db9,3
96,Digital Electronics Demystified,M. Predko,Digital Electronics,14,Yes,https://covers.zlibcdn2.com/covers100/books/44/45/99/444599edc4eeb160b96dff87df860b94.jpg,https://1lib.in/dl/510984/f215bb,2
97,"Digital Electronics, Volume 3: Finite-state Machines",Tertulien Ndjountche,Digital Electronics,18,Yes,https://covers.zlibcdn2.com/covers100/books/1c/0a/cc/1c0acc511ccda66465d0bb3285bee7d2.jpg,https://1lib.in/dl/2781584/5dab0d,5
98,Fundamentals of Wireless Sensor Networks: Theory and Practice (Wireless Communications and Mobile Computing),Waltenegus Dargie,Wireless Communications,19,Yes,https://covers.zlibcdn2.com/covers100/books/f7/71/e9/f771e9a285613d9be21130e07f1ba923.jpg,https://1lib.in/dl/871822/2edd90,3
99,Wireless Communications,Andrea Goldsmith,Wireless Communications,17,Yes,https://covers.zlibcdn2.com/covers100/books/f2/66/75/f26675cb3890c7549281823fb2f6fa7f.jpg,https://1lib.in/dl/875482/5a7223,2
100,Fundamentals of Wireless Sensor Networks: Theory and Practice (Wireless Communications and Mobile Computing),Waltenegus Dargie,Wireless Communications,14,Yes,https://covers.zlibcdn2.com/covers100/books/f7/71/e9/f771e9a285613d9be21130e07f1ba923.jpg,https://1lib.in/dl/871822/2edd90,4
101,Wireless Communications and Networking for Unmanned Aerial Vehicles,Walid Saad,Wireless Communications,13,Yes,https://covers.zlibcdn2.com/covers100/books/52/01/ef/5201efb55c15b880212a04ebb4379d9f.jpg,https://1lib.in/dl/5437043/cc165e,3
